Year,Language,Respondents,Selections,Share
2018,Bash,23859,2708,0.11350014669516745
2018,Java,23859,3999,0.16760970702879416
2018,Javascript/Typescript,23859,3249,0.13617502829121086
2018,Julia,23859,230,0.009639968146192213
2018,MATLAB,23859,2652,0.11115302401609456
2018,Other,23859,624,0.02615365270966931
2018,Python,23859,15711,0.658493650194895
2018,R,23859,6685,0.2801877698143258
2018,SQL,23859,8267,0.34649398549813487
2019,Bash,19717,2037,0.10331186285946138
2019,C,19717,1672,0.0847999188517523
2019,C++,19717,2256,0.11441902926408683
2019,Java,19717,2267,0.11497692346705889
2019,Javascript,19717,2174,0.11026018156920424
2019,MATLAB,19717,1516,0.07688796470051225
2019,Other,19717,1148,0.05822386772835624
2019,Python,19717,12841,0.6512654054876502
2019,R,19717,4588,0.2326926002941624
2019,SQL,19717,6532,0.3312877212557691
2020,Bash,20036,1776,0.08864044719504892
2020,C,20036,3315,0.16545218606508286
2020,C++,20036,3827,0.1910061888600519
2020,Java,20036,3367,0.1680475144739469
2020,Javascript,20036,2995,0.1494809343182272
2020,Julia,20036,262,0.013076462367738071
2020,MATLAB,20036,2217,0.11065082850868437
2020,Other,20036,1945,0.09707526452385706
2020,Python,20036,15530,0.7751048113395888
2020,R,20036,4277,0.2134657616290677
2020,SQL,20036,7535,0.3760730684767419
2020,Swift,20036,198,0.00988221201836694
2021,Bash,25973,2216,0.08531937011511954
2021,C,25973,4709,0.18130366149462904
2021,C++,25973,5535,0.2131059176837485
2021,Java,25973,4769,0.18361375274323335
2021,Javascript,25973,4332,0.1667885881492319
2021,Julia,25973,305,0.01174296384707196
2021,MATLAB,25973,2935,0.11300196357756132
2021,Other,25973,2575,0.0991414160859354
2021,Python,25973,21860,0.8416432449081739
2021,R,25973,5334,0.20536711200092403
2021,SQL,25973,10756,0.4141223578331344
2021,Swift,25973,242,0.009317368036037424
